Symbol,Name,Price,Change,ChangePercent,Day's Volume
III,3i Group,479.4,12,2.44,2387043
3IN,3i Infrastructure,164.7,0.1,0.06,429433
AA,AA,325.9,5.7,1.72,1469834
ADN,Aberdeen Asset Management,307.2,7.2,2.29,5959917
ASL,Aberforth Smaller Companies Trust,1176,3,0.25,134829
ACA,Acacia Mining,239.3,5,2.05,658092
ADM,Admiral Group,1506,41,2.65,1355010
AGK,Aggreko,1041,20,1.96,1063172
ANH,AL Noor Hospitals Group,819,21,2.50,202483
ALD,Aldermore Group,278,10.9,4.08,715477
ALNT,Alent,462,1.4,0.30,585742
ATST,Alliance Trust,448.3,2.3,0.51,439133
ALM,Allied Minds,430,0,0.00,50294
AMFW,Amec Foster Wheeler,740.5,5.5,0.75,2707457
AML,Amlin,500,2,0.40,1234098
AAL,Anglo American,664.3,19.4,2.84,10432606
ANTO,Antofagasta,561.5,18,3.11,5246317
AO,AO World,125.2,2.3,1.87,227902
ARM,ARM Holdings,875,20.5,2.29,12046352
ASHM,Ashmore Group,254,1.7,0.66,754348
AHT,Ashtead Group,902,20.5,2.22,2938186
ABF,Associated British Foods,3097,30,0.96,694540
AZN,AstraZeneca,3922.5,47.5,1.20,4641481
ATK,Atkins (WS),1433,31,2.12,173610
AUTO,Auto Trader Group,334.5,14.2,4.07,4543749
AVV,Aveva Group,2054,4,0.19,218696
AV,Aviva,477.2,7.1,1.47,10955397
BME,B&M European Value Retail S.A. (..,319.5,5,1.54,1588054
BAB,Babcock International Group,937,9,0.95,1547047
BA,BAE Systems,436.8,8.1,1.82,9799837
BBY,Balfour Beatty,260.9,1.9,0.72,1773114
BGEO,Bank of Georgia Holdings,1663,2,0.12,97441
BNKR,Bankers Inv Trust,574,11,1.88,157889
BARC,Barclays,252,4.35,1.70,48887274
BAG,Barr (A.G.),556.5,3,0.54,60693
BDEV,Barratt Developments,613,11,1.76,5599510
BBA,BBA Aviation,286.8,5,1.77,3411626
BEZ,Beazley,328.3,1.7,0.52,768764
BWY,Bellway,2382,41,1.69,243400
BRSN,Berendsen,969.5,9,0.92,254924
BKG,Berkeley Group Holdings (The),3234,68,2.06,730095
BET,Betfair Group,3134,531,20.40,1585734
BG,BG Group,923.9,36.7,3.82,14499195
BHMG,BH Macro Ltd. GBP Shares,2055,11,0.53,49261
BLT,BHP Billiton,1009.5,11.5,1.13,14807565
BYG,Big Yellow Group,654.5,18.5,2.75,443443
BABS,BlueCrest AllBlue Fund Ltd. GBP ..,190,0,0.00,847347
BOY,Bodycote,607.5,11,1.78,301805
BOK,Booker Group,163.7,1.7,1.03,2865146
BVS,Bovis Homes Group,1075,12,1.10,595442
BP,BP,331.2,4.15,1.24,66939846
BRW,Brewin Dolphin Holdings,275.8,5.2,1.85,244742
BATS,British American Tobacco,3405.5,19.5,0.57,5040014
BTEM,British Empire Securities & Gene..,458.8,2.5,0.54,232282
BLND,British Land Company,808.5,13.5,1.64,5388396
BVIC,Britvic,657.5,3.5,0.53,585797
BWNG,Brown (N.) Group,290,7.2,2.42,569361
BT.A,BT Group,427.15,4.4,1.02,22314137
BTG,BTG,610,3.5,0.57,592074
BNZL,Bunzl,1687,19,1.11,950752
BRBY,Burberry Group,1347,45,3.23,4236341
BPTY,Bwin.party Digital Entertainment,113.7,0.5,0.44,1371352
CWC,Cable & Wireless Communications,57.65,0.8,1.37,12387296
CNE,Cairn Energy,139.4,0.2,0.14,1278429
CLDN,Caledonia Investments,2264,20,0.89,16425
CPI,Capita,1211,5,0.41,1919665
CAPC,Capital & Counties Properties,432.7,6.4,1.46,1380141
CARD,Card Factory,362.2,11.6,3.10,284019
CLLN,Carillion,326.7,5.8,1.74,2708997
CCL,Carnival,3189,9,0.28,1307407
CEY,Centamin (DI),57.75,0.4,0.69,6319648
CNA,Centrica,236.1,7.7,3.16,22828796
CINE,Cineworld Group,577.5,3,0.52,1179708
CTY,City of London Inv Trust,370.7,4.8,1.28,586119
CKN,Clarkson,2320,15,0.65,25161
CBG,Close Brothers Group,1440,24,1.64,242888
CLI,CLS Holdings,1840,0,0.00,2899
COB,Cobham,266.4,5.9,2.17,3754277
CCH,Coca-Cola HBC AG (CDI),1291,8,0.62,622199
CPG,Compass Group,1002,18,1.76,5576238
CCC,Computacenter,732,7.5,1.01,32565
CWD,Countrywide,497.9,4.1,0.82,990127
CWK,Cranswick,1686,105,6.64,175033
CRST,Crest Nicholson Holdings,523.5,4,0.76,452983
CRH,CRH,1800,5,0.28,2032509
CRDA,Croda International,2811,85,2.94,395161
DJAN,Daejan Holdings,6040,10,0.17,3093
DCG,Dairy Crest Group,583.5,11.5,1.93,269455
DCC,DCC,4671,82,1.73,152090
DEB,Debenhams,79.95,0.05,0.06,2086035
DPH,Dechra Pharmaceuticals,930,8.5,0.92,33919
DLN,Derwent London,3542,66,1.83,226256
DGE,Diageo,1658.5,14.5,0.87,6171024
DTY,Dignity,2442,28,1.13,126586
DPLM,Diploma,718,7,0.97,112172
DLG,Direct Line Insurance Group,346.9,5,1.42,6743095
DC,Dixons Carphone,420.3,5.1,1.20,4456249
DOM,Domino's Pizza Group,859.5,21.5,2.44,307733
DRX,Drax Group,278.5,0,0.00,1430337
DNLM,Dunelm Group,887.5,10.5,1.17,90529
EZJ,easyJet,1677,2,0.12,2285159
EDIN,Edinburgh Inv Trust,659,11,1.64,261026
ELTA,Electra Private Equity,3231,41,1.29,21121
ECM,Electrocomponents,180,0.8,0.44,687348
ELM,Elementis,229.8,4.8,2.05,894899
ETI,Enterprise Inns,119.9,3.9,3.36,377508
ETO,Entertainment One Limited,297.8,3.1,1.03,586249
ESNT,Essentra,845,2.5,0.30,556231
ESUR,esure Group,239.7,4.1,1.68,412456
ERM,Euromoney Institutional Investor,1012,13,1.27,10737
EVR,Evraz,75.05,2.8,3.60,2035356
EXPN,Experian,1064,24,2.21,3106488
FCPT,F&C Commercial Property Trust Ltd.,145.1,1,0.68,508809
FCSS,Fidelity China Special Situations,113.1,5.7,4.80,1396759
FEV,Fidelity European Values,167.3,2.5,1.47,352073
FDSA,Fidessa Group,1871,9,0.48,43565
FGT,Finsbury Growth & Income Trust,540.5,8,1.46,227630
FGP,FirstGroup,106.5,2.6,2.38,2359469
FSJ,Fisher (James) & Sons,1035,64.5,6.65,55118
FRCL,Foreign and Colonial Inv Trust,411.6,1.5,0.36,376725
FOXT,Foxtons Group,226,5.4,2.33,510978
FRES,Fresnillo,594.5,45,7.04,2792882
GFS,G4S,248.7,3.8,1.50,5229803
GFRD,Galliford Try,1685,26,1.52,138528
GCP,GCP Infrastructure Investments Ltd,118,0.2,0.17,597907
GSS,Genesis Emerging Markets Fund Lt..,429.2,2.3,0.54,131439
GNS,Genus,1318,30,2.23,45208
GKN,GKN,280.4,5.6,1.96,5068172
GSK,GlaxoSmithKline,1274.5,21.5,1.66,17752000
GLEN,Glencore,138.9,5.4,3.74,85772199
GOG,Go-Ahead Group,2525,83,3.18,70269
GFTU,Grafton Group Units,676.5,15,2.17,524345
GRI,Grainger,231.5,2.5,1.07,971248
GPOR,Great Portland Estates,811.5,18,2.17,735999
GNC,Greencore Group,286.4,4,1.42,1010830
GNK,Greene King,809,15,1.82,598300
GRG,Greggs,1139,14,1.21,280895
HFD,Halfords Group,507.5,6.5,1.26,289294
HLMA,Halma,735,4,0.54,507716
HMSO,Hammerson,615.5,12.5,1.99,2990347
HSTN,Hansteen Holdings,114.6,0.8,0.70,1069504
HL,Hargreaves Lansdown,1061,16,1.49,749325
HAS,Hays,154.2,4,2.53,3950073
HTY,Hellermanntyton Group,467.2,0.2,0.04,559472
HGG,Henderson Group,250.9,7.8,3.02,3215896
HICL,HICL Infrastructure Company Ltd,152.8,0.9,0.59,795722
HIK,Hikma Pharmaceuticals,2243,33,1.45,700473
HSX,Hiscox Limited (DI),891,2.5,0.28,215172
HOME,Home Retail Group,146.3,0.3,0.20,8811053
HSV,Homeserve,410,1.5,0.37,151173
HWDN,Howden Joinery Group,470.5,5.3,1.11,1273875
HSBA,HSBC Holdings,496.2,10.9,2.15,37037903
HTG,Hunting,433,18.6,4.49,759254
IAP,ICAP,445.6,7.7,1.70,1156199
IGG,IG Group Holdings,706,11,1.53,678351
IMI,IMI,1002,2,0.20,1169198
IMT,Imperial Tobacco Group,3098,18,0.58,3462661
INCH,Inchcape,709.5,7.5,1.05,1702837
INDV,Indivior,214.8,1.7,0.79,1839436
INF,Informa,555.5,8.5,1.51,655519
ISAT,Inmarsat,913.5,20.5,2.19,1033641
IHG,InterContinental Hotels Group,2335,50,2.10,986751
ICP,Intermediate Capital Group,515.5,4.5,0.87,558891
IAG,International Consolidated Airli..,531.5,13.5,2.61,12802614
IPF,International Personal Finance,392.1,1.9,0.49,632352
INPP,International Public Partnership..,136.1,0.2,0.15,438802
IRV,Interserve,558.5,4,0.71,180840
ITRK,Intertek Group,2464,29,1.16,509037
INTU,Intu Properties,313.6,5.8,1.82,2906443
INVP,Investec,513.5,12.5,2.38,1572624
IPO,IP Group,216.3,3.9,1.84,348300
ITV,ITV,244.4,3.9,1.57,13945252
JLT,Jardine Lloyd Thompson Group,1034,7,0.67,54157
JD,JD Sports Fashion,842,3.5,0.41,69261
CHOO,Jimmy Choo,167.5,2.5,1.52,115975
JLG,John Laing Group,211.1,2.2,1.05,197088
JLIF,John Laing Infrastructure Fund Ltd,118.3,1,0.84,420063
JMAT,Johnson Matthey,2573,108,4.03,757930
JAM,JPMorgan American Inv Trust,253.9,2.6,1.01,239979
JMG,JPMorgan Emerging Markets Inv Tr..,513.5,6,1.16,68858
JUP,Jupiter Fund Management,426.7,9,2.07,899623
JE,Just Eat,379.2,9,2.32,2372612
JRG,Just Retirement Group,183.5,7.8,4.08,151714
KAZ,Kaz Minerals,163.7,0.9,0.55,2328397
KLR,Keller Group,995.5,3,0.30,78589
KWE,Kennedy Wilson Europe Real Estate,1180,10,0.85,846720
KIE,Kier Group,1398,21,1.48,150953
KGF,Kingfisher,345.7,5,1.43,7741225
LAD,Ladbrokes,98.85,2.75,2.71,11166073
LRD,Laird,372.1,6.7,1.77,439145
LRE,Lancashire Holdings Limited,630.5,2.5,0.40,414402
LAND,Land Securities Group,1228,32,2.54,2610463
LGEN,Legal & General Group,248,5.7,2.25,19151647
LLOY,Lloyds Banking Group,76.08,0.6,0.78,153000000
LSE,London Stock Exchange Group,2462,74,2.92,891351
LMP,LondonMetric Property,156.6,2,1.26,1160336
LMI,Lonmin,34.47,1.89,5.20,5429147
LOOK,Lookers,158,3.3,2.05,2215587
EMG,Man Group,160.1,7.3,4.78,15188841
MKS,Marks & Spencer Group,500.5,1.5,0.30,6426119
MSLH,Marshalls,311,0,0.00,219684
MARS,Marston's,151.8,1,0.65,2530350
MGGT,Meggitt,455.7,8.3,1.79,4634565
MRO,Melrose Industries,259,1.5,0.58,5209431
MRC,Mercantile Investment Trust (The),1691,28,1.63,143420
MERL,Merlin Entertainments,380.2,4.2,1.09,3316575
MPI,Michael Page International,490.9,8.2,1.64,1374094
MCRO,Micro Focus International,1263,24,1.86,366288
MLC,Millennium & Copthorne Hotels,555.5,14.5,2.54,612006
MAB,Mitchells & Butlers,361.5,7.2,1.95,281668
MTO,Mitie Group,288.5,3.2,1.10,879257
MNDI,Mondi,1405,17,1.20,2203114
MONY,Moneysupermarket.com Group,317,2.6,0.83,3149252
MNKS,Monks Inv Trust,381.5,3.2,0.83,516581
MGAM,Morgan Advanced Materials,326.5,1,0.31,353177
MRW,Morrison (Wm) Supermarkets,165.3,1.6,0.96,8038722
MYI,Murray International Trust,810,18,2.17,192379
NEX,National Express Group,293,1,0.34,814430
NG,National Grid,825.8,19.2,2.27,7274113
NBLS,NB Global Floating Rate Income F..,94.5,0.4,0.42,1776213
NXT,Next,7590,90,1.17,988942
NMC,NMC Health,727.5,3.5,0.48,70013
NTG,Northgate,498,1,0.20,118954
NOG,Nostrum Oil & Gas,475,0.5,0.11,166478
OCDO,Ocado Group,335.1,3.6,1.09,2013405
OML,Old Mutual,192.3,2.2,1.13,16418120
OSB,OneSavings Bank,363.9,46.1,14.51,1005615
OPHR,Ophir Energy,87.95,0.95,1.09,3614199
PIC,Pace,330.4,1.7,0.51,470891
PAG,Paragon Group Of Companies,389.9,2.7,0.69,484808
PAY,PayPoint,1004,9,0.89,37070
PSON,Pearson,1082,24,2.17,2496466
PNN,Pennon Group,722.5,14,1.90,1088670
PLI,Perpetual Income & Growth Inv Tr..,397.1,2.9,0.72,206702
PSN,Persimmon,2003,55,2.67,2108199
PDL,Petra Diamonds Ltd.(DI),129.2,10.8,7.71,2303024
PFC,Petrofac Ltd.,794,27,3.52,3225835
PETS,Pets at Home Group,279.3,1.8,0.64,603331
PHNX,Phoenix Group Holdings (DI),862.5,5.5,0.63,679126
PTEC,Playtech,891,8.5,0.94,1260386
PCT,Polar Capital Technology Trust,541.5,8.5,1.55,381082
POLY,Polymetal International,460.8,0.5,0.11,335341
PLND,Poundland Group,344,1.5,0.43,269710
PFL,Premier Farnell,129,1.1,0.86,868472
PMO,Premier Oil,93.75,1.55,1.68,6404360
PFG,Provident Financial,2815,19,0.67,339651
PRU,Prudential,1394,17.5,1.24,5704622
PZC,PZ Cussons,309.4,0.7,0.23,305738
QQ,QinetiQ Group,225,1.7,0.75,1731992
RRS,Randgold Resources Ltd.,3817,184,4.60,832147
RNK,Rank Group,258,6.6,2.49,145019
RAT,Rathbone Brothers,2170,55,2.47,26750
