Symbol,Name,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
AIR,AAR Corp.,18.92,19.28,18.74,19.26,0.83,4.5,415272,26.08,14.24,,,11.67,-16.19
ABB,ABB ADS,17,17.39,16.92,17.39,1.07,6.56,3274538,22.61,14.44,0.44,2.53,14.74,-8.95
ABM,ABM Industries,21.2,21.84,21.14,21.8,0.96,4.61,509653,23.32,15.88,0.54,2.48,21.37,5.52
ABD,ACCO Brands,6.87,7.33,6.85,7.3,0.69,10.44,422359,9.47,2.24,,,,0.27
ACE,ACE,49.01,49.81,48.84,49.81,1.38,2.85,2911161,55.64,40,1.32,2.65,6.13,-1.17
AES,AES,10.08,10.26,9.57,10.23,0.31,3.13,7576142,15.44,8.84,,,9.56,-23.14
AFL,AFLAC,43.93,45.92,43.67,45.83,3.07,7.18,7227851,56.56,28.17,1.12,2.44,13.8,-0.91
AGCO,AGCO,28.92,29.35,28.81,29.15,0.82,2.89,1068879,40.29,24.61,,,24.7,-9.86
AGL,AGL Resources,36.2,36.53,35.89,36.21,0.69,1.94,320474,40.08,28.12,1.76,4.86,11.87,-0.71
GRO,AGRIA ADS,1.59,1.61,1.53,1.55,0.05,3.33,178737,4.53,1.18,,,,-50.48
AHC,A. H. Belo Series A,6.65,7.12,6.63,7.02,0.39,5.88,100041,9.16,0.92,,,,21.88
AKS,AK Steel Holding,14.96,15.24,14.81,15.24,0.82,5.69,11294825,26.75,13.04,0.2,1.31,,-28.62
AMB,AMB Property,25.4,26.19,25.02,26.14,1.48,6,2237675,29.6,15.91,1.12,4.28,,2.31
ACO,AMCOL International,27.14,28.44,26.77,28.4,1.96,7.41,104449,32.6,18.24,0.72,2.54,24.07,-0.07
AHS,AMN Healthcare Services,8.3,8.5,8.17,8.49,0.43,5.33,127114,11,5.93,,,849,-6.29
AMR,AMR,7.71,7.8,7.62,7.78,0.3,4.01,14682757,10.5,3.79,,,,0.65
AOL,AOL,21.16,21.27,20.95,21.16,0.44,2.12,1106197,29.45,20.11,,,10.85,-9.11
AON,AON,38.92,39.66,38.7,39.61,1.13,2.94,2345395,44.34,34.81,0.6,1.51,19.51,3.31
T,AT&T,24.41,24.66,24.25,24.63,0.5,2.07,27556995,28.73,23.19,1.68,6.82,12.38,-12.13
AUO,AU Optronics ADS,9.6,9.76,9.54,9.75,0.5,5.41,3644358,13.3,8.68,0.09,0.92,,-18.68
AVX,AVX,13.93,14.03,13.88,14,0.31,2.26,214721,15.72,9.07,0.18,1.29,16.87,10.5
AZZ,AZZ Inc.,37.14,37.94,36.94,37.7,1.59,4.4,106031,43.01,27.9,0.5,,12.48,15.29
